,ori,data_year,offense,cleared,actual
0,GA0010000,2017,larceny,25,175
1,GA0010000,2017,homicide,0,0
2,GA0010000,2017,human-trafficing,0,0
3,GA0010000,2017,rape-legacy,0,0
4,GA0010000,2017,burglary,10,109
5,GA0010000,2017,aggravated-assault,5,18
6,GA0010000,2017,arson,0,0
7,GA0010000,2017,rape,0,0
8,GA0010000,2017,violent-crime,6,20
9,GA0010000,2017,property-crime,38,304
10,GA0010000,2017,motor-vehicle-theft,3,20
11,GA0010000,2017,robbery,1,2
12,GA0010000,2018,homicide,0,0
13,GA0010000,2018,rape-legacy,0,0
14,GA0010000,2018,arson,0,0
15,GA0010000,2018,aggravated-assault,10,25
16,GA0010000,2018,robbery,0,0
17,GA0010000,2018,violent-crime,10,31
18,GA0010000,2018,human-trafficing,0,0
19,GA0010000,2018,rape,0,6
20,GA0010000,2018,larceny,38,177
21,GA0010000,2018,burglary,11,67
22,GA0010000,2018,motor-vehicle-theft,11,20
23,GA0010000,2018,property-crime,60,264
24,GA0010000,2019,rape-legacy,0,2
25,GA0010000,2019,aggravated-assault,4,20
26,GA0010000,2019,arson,0,0
27,GA0010000,2019,violent-crime,4,24
28,GA0010000,2019,robbery,0,0
29,GA0010000,2019,rape,0,4
30,GA0010000,2019,property-crime,32,192
31,GA0010000,2019,motor-vehicle-theft,4,15
32,GA0010000,2019,larceny,22,135
33,GA0010000,2019,human-trafficing,0,0
34,GA0010000,2019,homicide,0,0
35,GA0010000,2019,burglary,6,42
36,GA0010000,2020,property-crime,5,48
37,GA0010000,2020,violent-crime,4,3
38,GA0010000,2020,rape-legacy,0,0
39,GA0010000,2020,motor-vehicle-theft,2,2
40,GA0010000,2020,larceny,2,33
41,GA0010000,2020,human-trafficing,0,0
42,GA0010000,2020,aggravated-assault,3,3
43,GA0010000,2020,arson,0,0
44,GA0010000,2020,burglary,1,13
45,GA0010000,2020,homicide,0,0
46,GA0010000,2020,robbery,0,0
47,GA0010000,2020,rape,1,0
48,GA0010100,2017,human-trafficing,0,0
49,GA0010100,2017,motor-vehicle-theft,3,7
50,GA0010100,2017,violent-crime,39,48
51,GA0010100,2017,robbery,4,4
52,GA0010100,2017,rape-legacy,0,0
53,GA0010100,2017,rape,1,2
54,GA0010100,2017,property-crime,99,327
55,GA0010100,2017,aggravated-assault,33,41
56,GA0010100,2017,arson,0,0
57,GA0010100,2017,larceny,71,211
58,GA0010100,2017,burglary,25,109
59,GA0010100,2017,homicide,1,1
60,GA0010100,2018,motor-vehicle-theft,19,28
61,GA0010100,2018,violent-crime,46,73
62,GA0010100,2018,robbery,1,8
63,GA0010100,2018,rape-legacy,0,0
64,GA0010100,2018,rape,0,3
65,GA0010100,2018,property-crime,65,388
66,GA0010100,2018,larceny,39,293
67,GA0010100,2018,human-trafficing,0,0
68,GA0010100,2018,homicide,6,1
69,GA0010100,2018,burglary,7,67
70,GA0010100,2018,arson,0,0
71,GA0010100,2018,aggravated-assault,39,61
72,GA0010100,2019,human-trafficing,0,0
73,GA0010100,2019,larceny,55,144
74,GA0010100,2019,robbery,1,6
75,GA0010100,2019,violent-crime,38,59
76,GA0010100,2019,motor-vehicle-theft,7,12
77,GA0010100,2019,aggravated-assault,36,49
78,GA0010100,2019,arson,0,0
79,GA0010100,2019,property-crime,69,190
80,GA0010100,2019,rape,1,4
81,GA0010100,2019,rape-legacy,0,0
82,GA0010100,2019,burglary,7,34
83,GA0010100,2019,homicide,0,0
84,GA0010100,2020,rape,0,2
