Name,2017 Income per Capita,2018 Income per Capita,2019 Income per Capita,2020 Income per Capita
Appling County,33240,33620,35558,39199
Atkinson County,28937,28962,30251,31938
Bacon County,31441,31516,32784,38281
Baker County,33548,35175,39932,43156
Baldwin County,31915,32534,33865,36399
Banks County,35193,35862,35990,37333
Barrow County,35807,36720,37318,40435
Bartow County,37028,38310,39755,42734
Ben Hill County,29600,31250,32539,36234
Berrien County,30822,31117,32573,35260
Bibb County,39509,40433,41517,44830
Bleckley County,33013,33520,34464,36712
Brantley County,26070,27046,27472,30007
Brooks County,33756,34708,36742,40221
Bryan County,50475,53382,53404,56648
Bulloch County,31342,32360,32718,35376
Burke County,34447,34940,38419,41973
Butts County,32752,34243,34761,37403
Calhoun County,24114,23262,25701,28426
Camden County,35493,35872,36807,39262
Candler County,31070,32024,33649,36613
Carroll County,37126,38273,39725,42058
Catoosa County,33929,34882,36030,38815
Charlton County,24177,24465,24884,27192
Chatham County,45559,47256,48545,51805
Chattahoochee County,31503,29964,30433,33166
Chattooga County,29702,30296,31069,33855
Cherokee County,50281,52052,53774,56278
Clarke County,32362,33481,34935,37588
Clay County,30808,32081,34175,38731
Clayton County,26721,27430,28329,32702
Clinch County,35573,36689,38551,44238
Cobb County,55448,57762,60383,63214
Coffee County,31301,31761,32880,35507
Colquitt County,32304,32728,33793,37418
Columbia County,48358,49844,51534,54420
Cook County,30891,32303,33589,36301
Coweta County,45358,47395,49042,52106
Crawford County,33368,33841,34633,37563
Crisp County,31585,32341,34299,37250
Dade County,33728,35561,34992,37327
Dawson County,44208,45988,46101,48170
Decatur County,33717,35527,37197,40879
DeKalb County,48914,51310,52950,56428
Dodge County,29484,30026,31116,33419
Dooly County,29914,29886,32995,34582
Dougherty County,33580,34246,35951,40161
Douglas County,34199,35406,36772,40264
Early County,35181,35805,39225,42889
Echols County,27087,28002,28417,31945
Effingham County,40521,41839,41988,45069
Elbert County,35129,35669,35899,38414
Emanuel County,31948,31778,33463,37678
